0,1,2,3,4
Last DayLast WeekRaceKilled PlayersKilled by PlayersKilled PlayersKilled by Players(elemental forces)80380A Shielded Astral Glyph0020Abyssador04120Achad0007Aftershock113297Ahau0684595Alptramun00012Amenef the Burning0310177An Astral Glyph0003Annihilon0001Anomaly0280193Arachir the Ancient One0001Arthom The Hunter0002Ashmunrah050114Avalanche0005Axeitus Headbanger0007Azerus0013Baron Brute0007Battlemaster Zunzu0101Bibby Bloodbath060134Big Boss Trolliver0001Black Knights0140248Black Vixen018301418Bloodback015401201Bloodpaw0007Bone Capsule0004Boogey0105Bovinus0007Bragrumol00035Brain Head02014Brokul011073Brother Chill02011Brother Freeze02011Brother Worm07039Bruise Payne0001Brutus Bloodbeard0102Burster0102Captain Jones0001Cave Spiders0002Channeling Earl Osam1010Coldheart0016Colerian the Barbarian0007Count Vlarkorth0252150Countess Sorrow0001Cublarc the Plunderer0005Cursed Gladiators0007Custodian02021Damage Resonance000324Darakan the Executioner0205Darkfang015601212Dazed Leaf Golems0340232Deadeye Devious0001Death Priest Shargon0001Deathbine01029Deathbringer0104Deathstrike04220Demodras0004Destabilized Ferumbras04018Dharalion0001Diblis the Fair0001Dipthrah0100107Dirtbeard0107Diseased Bills02031Diseased Dans02037Diseased Freds03034Doctor Perhaps0108Doomhowl0006Dorokoll The Mystic0103Dragon Essences2486612Dragon Wardens051416712Drasilla0005Dreadful Disruptor0001Dreadmaw0001Dreadwing0006Drume2250111835Duke Krule0252156Earl Osam0250150Ekatrix04024Eliz The Unyielding0103Enusat the Onyx Wing00037Eradicator0280192Eshtaba The Conjurer0103Esmeralda0004Essence Of Malice0103Ethershreck0005Evil Mastermind0105Faceless Bane0230193Fallen Challengers0400486Fallen Mooh'Tah Master Ghar0205Fatality0007Fazzrah0103Ferumbras Mortal Shell04018Ferumbras Soul Splinter0320144Flamecaller Zazrak0001Fleabringer0001Fleshcrawler01011Foreman Kneebiter0101Foreshock013091Frenzy0500593Frostfur0007Fugue0006Gaffir0440684Gelidrazah the Frozen021601823General Murius0001Ghulosh0205Glitterscale05061Glooth Fairy0003Gnomevil03022Gnorre Chyllson0205Golgordan0001Gorgo06024Gorzindel0207Goshnar's Cruelty04118Goshnar's Greed08032Goshnar's Hatred05024Goshnar's Malice02010Goshnar's Megalomania0208Goshnar's Spite0308Grand Canon Dominus01031757Grand Chaplain Gaunder0740533Grand Commander Soeren01060755Grand Master Oberon018741337Grand Mother Foulscale0001Greed0010Grimgor Guteater0005Groam0001Grorlam0001Guard Captain Quaid0190191Hairman the Huge0001Haunter0006Hellgorak0002Heoni0860584Hide02023High Templar Cobrass0001Hirintror0101Horestis0006Ice Overlords0001Incineron0016Inky0105Irgix the Flimsy0330195Izcandar Champion of Summer00014Izcandar Champion of Winter01011Izcandar the Banished00014Jailer018601315Kalyassa023621868Katex Blood Tongue019011255King Zelos03123Koshei the Deathless0107Kraknaknork0101Kreebosh the Exile0005Kroazur0460406Kusuma0470372Lady Tenebris01118Last Planegazer0003Latrivan0001Leiden0311181Lersatio00023Lethal Lissy0103Leviathan0003Lisa0204Lizard Gate Guardians0109Lloyd01023Lokathmor0308Lord Azaram0261149Lord of the Elements02017Mad Mages01018Mad Technomancers0007Madareth0004Mahrdis0104Malkhar Deathbringer0103Malofur Mangrinder00014Man in the Cave0001Massacre0001Mawhawk00029Maxxenius00015Mazoran00022Mazzinor0207Megasylvan Yselda09068Melting Frozen Horrors00014Menace0007Mephiles0106Mezlon The Defiler0103Monstor0105Morguthis0002Morik the Gladiator01015Mozradek00021Munster0102Neferi the Spy0370272Norgle Glacierbeard0205Omruc0002Oodok Witchmaster0102Orcus the Cruel0007Outburst0291197Paiz the Pauperizer0104Plagueroot012029Preceptor Lazare014501047Pythius the Rotten0102Rage of Mazoran000568Ragiaz0001Raging Mages0107Rahemos0003Ratmiral Blackwhiskers09067Ravenous Hunger0310182Raxias06048Razzagorn0004Realityquake013097Renegade Orcs0108Ribstride0007Rocko0006Rocky0007Ron the Ripper0002Rotworm Queens0003Rukor Zad0101Rupture00058Scarlett Etzel3347122418Shadowpelt016101285Shard of Corruption02017Shardhead0002Sharpclaw015901219Sharptooth0105Shulgrax0001Sir Baeloc0250149Sir Nictros0250149Sir Valorcrest0101Sister Hetai0300177Slim0005Smuggler Baron Silvertoe0001Soul Cages0600195Soul of Dragonking Zyrtarch00014Spirits of Earth0005Spirits of Fire0005Spirits of Water0005Splasher0105Srezz Yellow Eyes019001252Stonecracker0002Sulphur Scuttler0003Svoren the Mad0205Tanjis0002Tazhadur023001882Tentugly0130118Terofar0106Thaian01012Thalas0105Thawing Dragon Lords0190120The Armored Voidborn0002The Axeorcist0007The Baron From Below0208The Blazing Rose03021The Blightfather0001The Bloodtusk0009The Bloodweb0002The Brainstealer013090The Collector02011The Corruptor Of Souls0104The Count0003The Count Of The Core04021The Dark Dancer0005The Destruction01012The Diamond Blossom03019The Dread Maiden05034The Dreadorian0006The Duke Of The Depths0208The End Of Days015001088The Enraged Thorn Knight02134The Evil Eye0001The False God0005The Fear Feaster07239The First Dragon070101The Flaming Orchid0510270The Frog Prince0001The Hag0005The Hairy One0007The Horned Fox0105The Hunger01012The Keeper0106The Last Lore Keeper0003The Lily of Night03019The Many03012The Masked Marauder0205The Mega Magmaoid0002The Monster012081The Moonlight Aster0520277The Nightmare Beast06044The Noxious Spawn02017The Obliverator0104The Old Whopper0011The Old Widow0007The Pale Worm010165The Pit Lord0205The Plasmother0001The Rage01012The Ravager0001The Sandking00028The Scourge Of Oblivion02011The Shatterer0002The Sinister Hermit00022The Snapper02015The Souldespoiler00022The Source Of Corruption0104The Spellstealer02011The Time Guardian00024The Unarmored Voidborn0002The Unwelcome07039The Weakened Count0001The Welter0001The Winter Bloom0510273Timira the Many-Headed01350997Tiquandas Revenge0004Tirecz0006Tremorak0006Unaz the Mean0330198Ungreez0016Urmahlullu the Immaculate0010Urmahlullu the Weakened0290208Ushuriel0001Utua Stone Sting019001259Vashresamun0103Versperoth03121Vok the Freakish0320187Webster0205White Pale0001Willi Wasp0001World Devourer01011Xogixath00036Yakchal0001Yirkas Blue Scales018901252Zanakeph0002Zevelon Duskbringer0001Zomba0001Zorvorax023811913Zugurosh0004abyssal calamaries01011acid blobs014002883acolytes of the cult12026214702adepts of the cult23267623785adult goannas12810316709adventurers016311103afflicted striders079714670aggressive chickens0003agrestic chickens000133amazons04325030058ancient lion knights013901040ancient scarabs23731916097angry adventurers0001angry demons1618angry plants0400510animated feathers02517122768animated skunks0008animated swords000221arachnophobicas36348945470arctic fauns015070armadiles0600308askarak demons000157assassins048003310azure frogs01110808badgers02221023989bandits037402140banshees054903215barbarian bloodwalkers026501945barbarian brutetamers010001613barbarian headsplitters023202939barbarian skullhunters024702540barkless devotees0171825662barkless fanatics0169705084bashmus04402230484bats02295015989bears025804508behemoths3549713108berserker chickens0260140betrayed wraiths04069023104biting books01755212288black cobras016402373black sheep0280214black sphinx acolytes026332166blazing fire elementals01260126blemished spawns01971211597blightwalkers0128704575blistering fire elementals066076blood beasts01486012799blood crabs0116807863blood hands0340322blood priests033402234blue djinns0790756boar mans065617940boars011712843bog frogs01060705bog raiders128913082bonebeasts14632527501bonelords037103820bony sea devils04406143269boogies08202269bound astral power00024brachiodemons02100853brain squids03929025532braindeaths035101900branchy crawlers1182433837breach broods310178969909brimstone bugs01621218242brittle skeletons0230222broken shapers080345bugs078017012burning books01881013260burning gladiators175946178burster spectres276971550248butterflies020301505calamaries0220150canopic jars00023capricious phantoms03392033261carniphilas038814693carnisylvan saplings042105692carnivostriches250735498carrion worms041152793cats0630605cave chimeras1113223679cave devourers017402898cave hydras01560862cave parrots0310174cave rats088147463centipedes083806823chakoya toolshapers080982chakoya tribewardens0801334chakoya windcallers010634charged disruptions0002charged energy elementals04440996chargers01715011777charging Outburst01152779chasm spawns03702599chickens029803852choking fears21117413242clay guardians032603737cliff striders0331220cloaks of terror08702192clomps041603615cobra assassins12266634572cobra scouts01429220834cobra viziers01710327472cobras079805871containment crystals00010containment machines0003coral frogs0720434corrupt nagas02103314997corrupted souls000426corym charlatans0134777786corym skirmishers01349116083corym vanguards3725212759cosmic energy prism A02026cosmic energy prism B02026cosmic energy prism C02027cosmic energy prism D02026courage leeches02701114crabs055704361cracklers0005crape mans15166546534crawlers03212016462crazed beggars0440474crazed dwarfs00024crazed summer rearguards05536239622crazed summer vanguards04928335538crazed winter rearguards01310213382crazed winter vanguards01477015931crimson frogs0940646crocodiles01707010665crustaceae giganticae0111crypt defilers05660718crypt shamblers02146112626crypt wardens04200030708crypt warriors0280652crystal spiders016701716crystal wolves0005crystalcrushers0103437482cult believers02109014485cult enforcers049203397cult scholars0480956cursed apes041604151cursed books113380cursed prospectors01230422cyclopes13043622357cyclopes drone045335594cyclopes smith124544573damaged crystal golems0540309damaged worker golems0280223damned souls00014dark apprentices067316124dark carnisylvans042318785dark fauns119923731dark magicians041404166dark monks032903679dark soul reapers09038dark souls0400248dark torturers2156428102797dawn bats04050dawn scorpions03018dawnfire asuras114846287962dawnflies028581552death blobs02589011177death dragons000102death priests0260213deathling scouts02294213259deathling spellsingers0133806911deathspawns00035deepling brawlers00016deepling elites01021deepling guards0380853deepling master librarians00058deepling scouts098004870deepling spellsingers08001317deepling tyrants00087deepling warriors012601462deepling workers070710deepsea blood crabs027301713deepworms03516121996deer064603485defilers027501144demon outcasts17092532569demon parrots03028demon skeletons12155715884demons02474423631depolarized cracklers001751depowered minotaurs00031desperate white deer0500228destroyers02064024903devourers01671316530diabolic imps0180445diamond servant replicas011501129diamond servants06001088dire penguins0005diremaws18162351398disruptions0310306distorted phantoms050002388dogs01070773domestikions12265871doom deer09069dragon hatchlings02280020834dragon lord hatchlings09312099dragon lords22068517186dragon servants001208dragon wraths00039dragonlings000113dragons353471535819draken abominations070702924draken elites045602027draken spellweavers17113348506draken warmasters18751260562draptors0007dread intruders08786360201dread minions027062dreadbeasts0001drillworms054807103dromedaries020401476druid's apparitions043601747dwarf geomancers020330dwarf guards019012812dwarf henchmen000349dwarf miners0012dwarf soldiers065425066dwarfs053103592dworc fleshhunters082605918dworc venomsnipers072305012dworc voodoomasters047403805earth elementals055304549earworms000401efreet1841332eggs00069elder bonelords0532806elder forest furies02340352elder mummies0740505elder wyrms155373898elephants017301025elf arcanists0143708709elf overseers0009elf scouts12329618534elves01587013690emerald damselflies05117137941emerald tortoises04573225675energetic books13442121346energized raging mages05055energuardians of tales02430115630energy elementals03794017456enfeebled silencers02721326516enlighteneds of the cult01689113992enraged bookworms0202enraged crystal golems049602415enraged sand broods0001enraged squirrels08080enraged white deer116383enslaved dwarfs0110103enthralled demons015301138eruption of destruction00097eternal guardians03423024391evil prospectors018293evil sheep0210164evil sheep lord04023execowtioners013601012exotic bats08368156136exotic cave spiders03578323168eyeless devourers0112806953falcon knights130411625426falcon paladins519843317480fauns014901149feral sphinxes12339413457feverish citizens3173331733feversleeps0420169filth toads01000467fire devils0900982fire elementals03425231870firestarters03228310029fish0180238flamingos021301076flimsy lost souls113465765634floating savants0901708flying books024301615foam stalkers02117013130forest furies02913116553foxes02021017657frazzlemaws0151287109320freakish lost souls01550984frost dragon hatchlings026202313frost dragons038903218frost flower asuras02823118932frost giantesses015082frost giants020099frost trolls027301966frozen minions000580fungosauruses0241135furies158037612furious fire elementals02031furious trolls0140168fury of the emperor0001gang members0190615gargoyles01952013849gazer spectres097591160501gazers0260691ghastly dragons072826724ghost wolves03754116501ghosts01875012867ghoulish hyaenas0730666ghouls17425345527giant spiders11794913790girtablilu warriors15983943954gladiators013701773gloom wolves09024143338glooth anemones0757011009glooth bandits02981123939glooth batteries0001glooth blobs02942131411glooth brigands03025124198glooth golems01878111855gnarlhounds027301715gnome pack crawlers0001goblin assassins01310491goblin leaders09037goblin scavengers01960732goblins047803861golden servant replicas010701030golden servants020203672goldhanded cultist brides00020goldhanded cultists00023gore horns14522326125gorerillas14447725478gozzlers01011133grave guards0530496grave robbers07400950gravediggers0540273greater canopic jars0004greater energy elementals01060572greater fire elementals01040620green djinns02080764green frogs0500365grim reapers04064140773grimeleeches17061254398gryphons0508guardian golems015051guardians of tales048803483guzzlemaws06387148420hands of cursed fate0120908009hardened usurper archers01240982hardened usurper knights041903433hardened usurper warlocks058003773harpies03333329680haunted dragons0110227687haunted treelings0776010743hazardous phantoms014801088headpeckers05307035179hellfire fighters040214114hellflayers048507721hellhounds02021212888hellspawns08594568958heroes03247821520hibernal moths010301009hideous fungi044512144high voltage elementals014001903hive overseers05080holy bog frogs0004honour guards096402411hoodinions619825804horses018002420hot dogs00027hulking carnisylvans044407981hulking prehemoths24573725802humongous fungi066933663humorless fungi057202881hunger worms0240163hunters120151623huskies0260315hyaenas080205787hydras03933129142ice dragons044503453ice golems031903116ice witches019201111icecold books12672825381iks ahpututus0290169iks aucars030604091iks chukas024303464iks churrascans01480873iks pututus021002980infected weepers1271185infernal demons024092infernal frogs00028infernal phantoms014061infernalists080127ink blobs01453909insane sirens02157115855insect swarms054301779insectoid scouts000369insectoid workers0130717549instable breach broods04051840instable sparkions02910597iron servant replicas027701914iron servants024704536ironblights0512334island trolls025504194jagged earth elementals04016jellyfish0460398juggernauts047112939jungle moas115621304juvenile bashmus06647146073juvenile cyclopes0003killer caimans017503246killer rabbits0200148knight's apparitions039901955knowledge elementals02505215975knowledge raiders041501120kollos031401571kongras04073117872lacewing moths020901463lamassus1100377013lancer beetles032306210larvas05747023581lava golems0390293lava lurker attendants0301181lava lurkers012023lavafungi03329120841lavaworms03844024507leaf golems0145302978lesser death minions0004lesser fire devils02019lesser magma crystals06048lesser swarmers069003476liches035222188liodiles064117278lion archers01020678lion commanders0850583lion knights0550449lion warlocks058104324lions034712686little corym charlatans0130168lizard chosens1514222810lizard dragon priests0107818016lizard high guards03406126634lizard legionnaires01724014109lizard magistratuses0910172lizard nobles018059lizard sentinels021001619lizard snakecharmers0790638lizard templars022201445lizard zaoguns048716059lost bashers0680517lost berserkers21032775lost exiles040229lost gnomes05015lost hushers0400394lost souls03282121360lost throwers0580488lost times000440lucifuga araneas01011lumbering carnivors03512031246mad scientists0840999mad sheep03019magical spheres019901195magma bubbles0250181magma crawlers0851570magma crystals0780556makaras078718330makeshift homes06086mammoths1847212313manta rays000122manticores01860011134mantosauruses05785239622many faces082703784marid000108marsh stalkers02791021048massive earth elementals017411387massive energy elementals0791789massive fire elementals023801345massive water elementals000208meadow striders024391702mean lost souls04267321331mean maws0860326mean minions00013mearidions12323261385mechanical fighters0210185medusae04581136896memories of a banshee01010memories of a book01025memories of a carnisylvan00074memories of a dwarf00011memories of a faun0009memories of a frazzlemaw00021memories of a golem000106memories of a hero0002memories of a hydra03017memories of a lizard00020memories of a mammoth0004memories of a manticore00028memories of a pirate01014memories of a scarab00016memories of a shaper0009memories of a vampire00012memories of a werelion08035memories of a wolf04053memories of a yalahari0009memories of an amazon0009memories of an insectoid00015memories of an ogre00045menacing carnivors066719527mercurial menaces02151014191mercury blobs116211692merlkins0189608025metal gargoyles092204930midnight asuras014820689261midnight panthers0001minions of Versperoth09162minotaur amazons01510958minotaur archers0134248543minotaur bruisers0252204minotaur cult followers012639161334minotaur cult prophets04494022041minotaur cult zealots02557012933minotaur guards01725513189minotaur hunters0142828446minotaur idols00072minotaur invaders000608minotaur mages182136087minotaur occultists04020minotaur poachers08071minotaur totems00011minotaurs02767021704misguided bullies000275misguided shadows00025misguided thieves000235modified gnarlhounds018201164moles0760772monks072905554monks of the order03013mooh'tah warriors0175109817moohtants014301036mould phantoms0102912169mountain trolls01628112267muglex clan assassins05152muglex clan feetman017082muglex clan scavengers08148mummies14232222627murmillions4534121969mushroom sniffers0450356mutated bats02676016524mutated humans051904420mutated rats184215834mutated tigers0162809132mystic energy0409naga archers054615584naga warriors0982110388necromancer servants0001necromancers01227011542necromantic focuses04025neutral deepling warriors013084nighthunters05982731005nightmare scions0828210246nightmares02048013133nightstalkers0710727noble lions01440255nomads02304211883northern pikes05043novices of the cult0883213936noxious ripptors05932238007nymphs030302192ogre brutes08211703ogre rowdies075904886ogre ruffians041602927ogre sages031412316ogre savages0300756ogre shamans06201715omnivoras027113650orc berserkers343451222324orc cult fanatics000427orc cult inquisitors0001348orc cult minions001936orc cult priests000762orc cultists000700orc leaders2105087305orc marauders0260334orc riders025701735orc shamans06267238096orc spearmen0154209891orc warlords014331977orc warriors02433114146orchid frogs0710535orclops doomhaulers0290370orclops ravagers0230279orcs0145309162orewalkers0463322overcharged disruptions0003overcharged energy elements03530779overcharges018901277paladin's apparitions033001515pandas0220476parasites0410320parders023501856parrots0360246party skeletons0301692penguins025903996phantasms09064045240pigeons018601125pigs010701316pirat bombardiers05553042470pirat cutthroats010724086121pirat mates05221036831pirat scoundrels05445042104pirate buccaneers086904466pirate corsairs036601779pirate cutthroats0145818779pirate ghosts0110311pirate marauders02101013290pirate skeletons06701070pixies024801988plaguesmiths03439214460plunder patriarches06036poachers015501327poison spiders02399019716poisonous carnisylvans031304848polar bears037202917pookas0770671possessed trees03062priestesses028201500priestesses of the wild sun057504678primal pack beasts024711919putrid mummies11709317330quara constrictor scouts047604121quara constrictors015101566quara hydromancer scouts049104312quara hydromancers1551746quara mantassin scouts0810713quara mantassins014301305quara pincher scouts052704767quara pinchers011501026quara predator scouts061505473quara predators01062896rabbits063903512rage squids11764312502rats081454781ravenous lava lurkers22904318539reality reaver0665596reality reavers110068969584redeemed souls011037reflections of Mawhawk0004reflections of Obujos0004reflections of a Mage0004renegade knights03086219385retching horrors11484918990rhindeer15324746769rift broods00067rift fragments0001rift invaders073103081rift scythes00058rift worms00090ripper spectres02265020376roaring lions0177227079roaring water elementals03157rogue nagas02177514972rorcs120221765rot elementals01564012642rotten golems1127052633rotworms01592811506rustheap golems01847011358sabreteeth14385525511sacred snakes000148sacred spiders0790711salamander trainers1011salamanders0131909534sand broods000333sandcrawlers0100608891sandstone scorpions0890741scar tribe warriors0001scarabs03023114540scissorions10516391953scorn of the emperor0001scorpions01818312431sea serpents045123189seacrest serpents00040seagulls0700715security golems00012serpent spawns13906434159servants of Tentugly01110919shaburak demons000163shadow fiends0540789shadow pupils0410468shadow tentacles05090shaper matriarches000102sharks0120171sheep0800702shimmying butterflies0006shock heads083705827shrieking cry-stals02085014123sibangs04177019145sights of surrender0290312silencers011334279808silver rabbits022201885skeleton elite warriors01056111090skeleton warriors043203783skeletons03903124827skunks01270940slick water elementals00098slimes160336404slugs131414719smugglers058103173snakes03544027359solitary frost dragons0560303somewhat beatable dragons0400510sons of verminor024801092sorcerer's apparitions029301323soul reapers0003soul-broken harbingers075318486souleaters02710119652sparkions010028568850sparks of destruction02771122478spawns of the welter00011spectres029705788sphinxes06104843505spiders079707487spidris051602586spidris elite0120241spiky carnivors03408233595spirits of fertility03031spit nettles020001679spite of the emperor0001spitters0152208035spyrats017721947squid wardens02678525192squidgy slimes088303705squirrels011001423stabilizing dread intruders01780670stabilizing reality reavers11981684stalkers0105907097stalking stalks12800114976stampors000485starving wolves0001600stone devourers0473237stone golems054715965stone rhinos01036stonerefiners244692626304strange rats012601459strange slimes01014streaked devourers03919024630sulphiders05491229129sulphur spouters02802114764sun-marked goannas04063swamp trolls06578439673swamplings02482020752swan maidens011001141swarmer hatchlings0007swarmers090505992swords of vengeance000247symbols of fear0320177symbols of hatred01410606tainted souls1541665tarantulas02251321395tarnished spirits0270286tentacle of the Deep Terror0303terramites071904399terrified elephants000376terror birds014702129terrorsleeps0180198thanatursuses22084314408the primal menace012292thieves0107thieving squirrels01018thorn minions0400647thorn steeds01017thornback tortoises02098011990thornfire wolves0006tigers01010730time keepers000302toads036703343tomb servants012801154tormented ghosts080124tortoises01691010929toxic swarms0150206travelling merchants0204tremendous tyrants0106303558troll champions0280478troll guards00016troll legionnaires0140168troll marauders0204troll-trained salamanders41113177241trolls037106526true dawnfire asuras04087324485true frost flower asuras095605901true midnight asuras04739228914tunnel devourers00036tunnel tyrants024404108turbulent elementals14383144620twisted pookas017503071twisted shapers050290two-headed turtles04693230953ugly monsters0190254unbound blightwalkers01021unbound defilers0005unbound demon outcasts00011unbound demons02029undead cavebears0409undead dragons0510466undead elite gladiators072107730undead gladiators11401712708undead mine workers04024undead prospectors02011undertakers15461329331unstable sparks015301153usurper archers0250483usurper commanders2757115531usurper knights0481707usurper warlocks2312372valkyries01917214985vampire brides01824011134vampire pigs013081vampire viscounts0166309435vampires13056618278varnished diremaws098913509venerable foam stalkers0782414venerable girtablilus02484018766vermin swarms000560vexclaws18207661073vibrant phantoms0190838vicious liches01200671vicious squires05760537352vile destroyers01040566vile grandmasters01676610230voidshards00038vulcongras034902008wailing widows075508175walkers020164war golems075703076war wolves04702150873warlocks0821476waspoids02007211151wasps11070119261water buffalos0701378water elementals125422979weakened demons0505weakened frazzlemaws144751342986weepers0614427werebadgers01319211786werebears070217589wereboars088639167werefoxes0108709511werehyaena shamans16393540012werehyaenas01644217106798werelionesses0201985134625werelions0183837123165werewolves057406301white deer0770335white lions06242041637white shades0240404wigglers1119957483wild horses05058wild warriors042603027wilting leaf golems0252216745winter wolves01624012417wisps01240974witches150075367wolves01778012184woodlings042862622worker golems05401028worm priestesses01706210243wyrms13145818673wyverns317681415982yalahari despoilers0260159yetis1313yielothax02040014255young goannas23528420970young sea serpents039703383young trolls0250158zombies032712459Total190107670512357525527,,,,
,Last Day,Last Day,Last Week,Last Week
Race,Killed Players,Killed by Players,Killed Players,Killed by Players
(elemental forces),8,0,38,0
A Shielded Astral Glyph,0,0,2,0
Abyssador,0,4,1,20
Achad,0,0,0,7
Aftershock,1,13,2,97
Ahau,0,68,4,595
Alptramun,0,0,0,12
