Monstro,Killed by Players
(elemental forces),0
A Shielded Astral Glyph,0
Abyssador,3
Achad,1
Aftershock,17
Ahau,69
Alptramun,10
Amenef the Burning,21
An Astral Glyph,0
Annihilon,2
Anomaly,23
Apprentice Sheng,0
Arachir the Ancient One,0
Arthom The Hunter,0
Ashmunrah,11
Avalanche,1
Axeitus Headbanger,1
Azerus,1
Baron Brute,0
Battlemaster Zunzu,0
Bibby Bloodbath,14
Big Boss Trolliver,0
Black Knights,19
Black Vixen,174
Bloodback,145
Bloodpaw,1
Bone Capsule,0
Boogey,0
Bovinus,1
Bragrumol,3
Brain Head,3
Brokul,11
Brother Chill,2
Brother Freeze,2
Brother Worm,5
Bruise Payne,0
Brutus Bloodbeard,0
Burster,0
Captain Jones,0
Cave Spiders,0
Channeling Earl Osam,0
Coldheart,0
Colerian the Barbarian,1
Count Vlarkorth,17
Cublarc the Plunderer,0
Cursed Gladiators,1
Custodian,4
Damage Resonance,22
Darakan the Executioner,1
Darkfang,144
Dazed Leaf Golems,27
Deadeye Devious,1
Deathbine,1
Deathbringer,1
Deathstrike,3
Demodras,0
Despair,0
Destabilized Ferumbras,8
Dharalion,1
Diblis the Fair,0
Dipthrah,16
Dirtbeard,0
Diseased Bills,4
Diseased Dans,4
Diseased Freds,4
Doctor Perhaps,0
Doomhowl,0
Dorokoll The Mystic,0
Dragon Essences,60
Dragon Wardens,750
Drasilla,1
Dreadmaw,0
Dreadwing,0
Drume,264
Duke Krule,16
Earl Osam,18
Ekatrix,4
Eliz The Unyielding,0
Enusat the Onyx Wing,6
Eradicator,24
Eshtaba The Conjurer,0
Esmeralda,0
Essence Of Malice,0
Ethershreck,3
Evil Mastermind,0
Faceless Bane,26
Fallen Challengers,44
Fallen Mooh'Tah Master Ghar,1
Fatality,0
Fazzrah,0
Ferumbras Mortal Shell,8
Ferumbras Soul Splinter,64
Fire Overlords,66
Flamecaller Zazrak,0
Fleabringer,0
Fleshcrawler,1
Foreman Kneebiter,0
